Texas Instruments Inc BDR,,Não Encontrado
Tiffany Co BDR,60.701.190/0001-04,Encontrado
United Technologies Corp BDR,,Não Encontrado
The Western Union Company BDR,,Não Encontrado
Xerox Corp BDR,,Não Encontrado
Schulz SA,,Não Encontrado
Atom Participacoes SA em Recuperacao Judicial,00.359.742/0001-08,Encontrado
Kraft Heinz Co DRC,,Não Encontrado
AES Tiete Energia SA,04.128.563/0001-10,Encontrado
Companhia de Saneamento do Parana Sanepar,76.484.013/0001-45,Encontrado
Financeira Alfa SA CFI,17.167.412/0001-13,Encontrado
Refinaria de Petroleos de Manguinhos SA,,Não Encontrado
Banco do Estado do Rio Grande do Sul SA,92.702.067/0294-10,Encontrado
FII Domo,17.374.696/0001-19,Encontrado
Energisa SA,00.864.214/0001-06,Encontrado
Sansuy SA Industria de Plasticos,14.807.945/0005-58,Encontrado
Ogx Petroleo e Gas SA em Recuperacao Judicial,07.957.093/0001-96,Encontrado
Banco ABC Brasil SA Pref,28.195.667/0001-06,Encontrado
GAEC Educacao SA,09.288.252/0001-32,Encontrado
Azevedo & Travassos SA Pref,,Não Encontrado
Bahema SA,96.832.365/0015-57,Encontrado
Baumer SA Pref,,Não Encontrado
Excelsior Alimentos SA pref,95.426.862/0002-78,Encontrado
Bardella SA Industrias Mecanicas Pref,,Não Encontrado
Banestes SA Banco do Estado do Espirito Santo,28.127.603/0008-44,Encontrado
Banestes SA Banco do Estado do Espirito Santo Pref,28.127.603/0008-44,Encontrado
Banco do Estado de Sergipe SA Pref,13.009.717/0001-46,Encontrado
Banco Mercantil do Brasil SA,17.184.037/0001-10,Encontrado
Banco Mercantil do Brasil SA Pref,17.184.037/0001-10,Encontrado
Banco Mercantil de Investimentos SA,,Não Encontrado
Banco Mercantil de Investimentos SA Pref,,Não Encontrado
Bicicletas Monark SA,,Não Encontrado
Banco do Nordeste do Brasil SA,07.237.373/0001-20,Encontrado
Bombril SA,,Não Encontrado
Banco Alfa de Investimento SA,60.770.336/0001-65,Encontrado
Banco Alfa de Investimento SA Pref,60.770.336/0001-65,Encontrado
BRB Banco de Brasilia SA Pref,00.000.208/0001-00,Encontrado
Battistella Administracao e Participacoes SA,42.331.462/0001-31,Encontrado
Ampla Energia e Servicos SA,33.050.071/0196-81,Encontrado
Companhia de Eletricidade do Estado da Bahia Coelba,15.139.629/0001-94,Encontrado
Companhia de Eletricidade do Estado da Bahia Coelba Pref,15.139.629/0001-94,Encontrado
Centrais Eletricas do Para SA CELPA,,Não Encontrado
Centrais Eletricas do Para SA CELPA Pref,,Não Encontrado
Companhia Energetica de Pernambuco Celpe Pref,10.835.932/0001-08,Encontrado
Companhia de Gas de Sao Paulo Comgas,61.856.571/0001-17,Encontrado
CPFL Energias Renovaveis SA,02.429.144/0001-93,Encontrado
Financeira Alfa SA CFI ORD,17.167.412/0001-13,Encontrado
Cristal Pigmentos do Brasil SA Pref A,,Não Encontrado
Cristal Pigmentos do Brasil SA Pref B,29.088.425/0001-86,Encontrado
Companhia Energetica do Rio Grande do Norte Cosern,08.324.196/0001-81,Encontrado
Karsten SA Pref,,Não Encontrado
Companhia de Tecidos Norte de Minas COTEMINAS,,Não Encontrado
Companhia Tecidos Santanense,21.255.567/0001-89,Encontrado
Companhia Tecidos Santanense Pref,,Não Encontrado
CVC Brasil Operadora e Agencia de Viagens SA,,Não Encontrado
Dohler SA Pref,,Não Encontrado
Dtcom Direct to Company SA,,Não Encontrado
Electro Aco Altona SA,82.643.537/0001-34,Encontrado
Elektro Eletricidade e Servicos SA,02.328.280/0194-59,Encontrado
Elekeiroz SA,,Não Encontrado
EMAE Empresa Metropolitana de Aguas e Energia SA,02.302.101/0001-42,Encontrado
Energisa SA ORD,00.864.214/0001-06,Encontrado
Energisa Mato Grosso Distribuidora de Energia SA,03.467.321/0001-99,Encontrado
Manufatura de Brinquedos Estrela SA,,Não Encontrado
Companhia de Ferro Ligas da Bahia Ferbasa,,Não Encontrado
Fundo de Investimento da Amazonia,17.812.153/0001-36,Encontrado
Fdo Inv Setorial FL E Ref Fiset FL Ref,,Não Encontrado
GPC Participacoes SA em Recuperacao Judicial,02.193.750/0001-52,Encontrado
